member_id,member_no,password,email,fbid,fbemail,mobile_no,salutation,firstname,middlename,lastname,birth_year,birth_month,birth_day,gender,hkid,address1,address2,address3,district,region,reg_source,referrer,reg_status,reg_ip,activate_key,hash_key,session,status,opt_in,member_level_id,member_category_id,available_point,crt_date,upd_date,crt_by_type,crt_by,upd_by_type,upd_by,record_status,fullname,member_level_name
11,MC0011,CC900B14-EB50EE95-3C0A351D-F40BDDA8-D8FD663D-E6D58A58-D82AD778-1B4D60FE,achantaiman11@palmary.com.hk,,,75140852,4,Joseph,Sze Kit,So,1971,3,19,1,Z4539853,,,,0,0,0,,0,::1,,,,1,0,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Joseph Sze Kit So,,Junior Member
12,MC0012,6723EA1D-6918352C-86AA86D7-BA49527B-A98B9B1D-0E2D707E-70A0C02E-F0C0B0BD,achantaiman12@palmary.com.hk,,,74199203,5,Nick,Tui Hing,Wong,1978,9,16,1,Y4569309,,,,0,0,0,,0,::1,,,,1,1,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Nick Tui Hing Wong,,Junior Member
13,MC0013,F13C60AD-789DA5B8-F5B5C280-6FEAF9A1-E8CD06CA-145F465C-2179EFD2-2EF1673D,achantaiman13@palmary.com.hk,,,73257553,1,Sally,On Yi,Ho,1976,6,21,2,Z2560280,,,,0,0,0,,0,::1,,,,1,0,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Sally On Yi Ho,,Junior Member
14,MC0014,04EA5A15-FCA02091-4CED1914-AF588161-4D752A5E-0DC4F291-C2678A54-0A65ACC6,achantaiman14@palmary.com.hk,,,72315904,2,Debby,Siu Man,Lam,1989,4,17,2,C1983650,,,,0,0,0,,0,::1,,,,1,1,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Debby Siu Man Lam,,Junior Member
15,MC0015,74E4C685-BF68F21D-34277B07-80D8DD14-189AB3D5-4190D91C-D863867E-1B90188E,achantaiman15@palmary.com.hk,,,71374254,1,Nick,Tai Man,Chan,1988,3,19,1,Z5235414,,,,0,0,0,,0,::1,,,,1,0,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Nick Tai Man Chan,,Junior Member
16,MC0016,81F76412-1B79C1E3-9A27E68A-D159DA0F-6268B964-544F61D6-12A964EF-C6DF047B,achantaiman16@palmary.com.hk,,,70432605,2,Paul,Chi Chung,Fung,1987,8,27,1,Y1206856,,,,0,0,0,,0,::1,,,,1,1,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Paul Chi Chung Fung,,Junior Member
17,MC0017,0482763A-11821FDA-9A89C791-9AFC358D-0CEA0A00-25901808-D2385C88-843608BA,achantaiman17@palmary.com.hk,,,69490956,3,Lai,Ming,Lai,1990,12,14,1,C5432021,,,,0,0,0,,0,::1,,,,1,0,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Lai Ming Lai,,Junior Member
18,MC0018,E37B4C3F-826B7064-5DC8C81D-2EDFB726-CB65C32A-EF580C5B-66F055F3-3A86FF69,achantaiman18@palmary.com.hk,,,68549306,4,Joseph,Sze Kit,So,1971,3,19,1,Z4539854,,,,0,0,0,,0,::1,,,,1,1,1,0,0,2016/7/4 下午 08:12:50,2016/7/4 下午 08:12:50,0,0,1,1,0,Joseph Sze Kit So,,Junior Member
1002,PP0002,A5C98FF8-63A7D975-4539C8AB-C075B282-FDD76312-108F7711-A8A5C357-1B82C31E,ekahooyo@gmail.com,,,,1,"Lee,,",,Lee,0,0,0,1,,,,,0,0,0,0,0,,,123456,,1,0,1,0,0,2016/7/22 上午 01:12:42,2016/7/22 上午 01:12:42,0,0,1,1,0,"Lee,, Lee",,Junior Member
1003,PP0005,E10FED0D-E16FF28B-A02B5734-2A8A0C50-C71668BE-C02BD40B-6FEC5A4F-B602F6CC,leo@palmary.com.hk,,,,1,"lee,,,",,k,0,0,0,1,,,,,0,0,0,0,0,,,123456,,1,0,1,0,0,2016/7/22 上午 01:25:24,2016/7/22 上午 01:25:24,0,0,1,1,0,"lee,,, k",,Junior Member
1004,PP002,2A9172EC-BBB7DB7B-ACAEDFF3-2E37FDFE-E437E1BB-87AF9039-9BA1BCCA-259A7B16,leo2@palmary.com.hk,,,,1,"lee,,,",,gi,0,0,0,1,,,,,0,0,0,0,0,,,123456,,1,0,1,0,300,2016/7/22 上午 01:29:09,2016/7/22 上午 02:08:36,0,0,1,1,0,"lee,,, gi",,Junior Member
1005,PP003,7786A6EF-FDDE9866-4FE5C5D8-48A5AA27-3362C241-D6C1BC76-12D17E72-800064A7,ads@ad.com,,,,1,"lee,,asdasd,asdasd",,le,0,0,0,1,,,,,0,0,0,0,0,,,123456,,1,0,1,0,0,2016/7/22 上午 01:30:17,2016/7/22 上午 01:30:17,0,0,1,1,0,"lee,,asdasd,asdasd le",,Junior Member
1006,PP004,AD199807-7D30AB5B-BDAF1DFD-0F2F0469-18294C78-E97F7101-8DB90D1C-FA6BCAED,as@as.com,,,,1,"leo,adadasd,adadasd",,lee,0,0,0,1,,,,,0,0,0,0,0,,,123456,,1,0,1,0,0,2016/7/22 上午 01:36:05,2016/7/22 上午 01:36:05,0,0,1,1,0,"leo,adadasd,adadasd lee",,Junior Member
1007,PP005,7F2928A2-07DE67FA-83E73A07-B22648F6-628FE88F-E65BFC8F-1DEFA9EC-5B538C72,asdas@asd.com,,,,1,lee,,as,0,0,0,1,,,,,0,0,0,1004,0,,,123456,,1,0,1,0,0,2016/7/22 上午 01:44:05,2016/7/22 上午 01:44:05,0,0,1,1,0,lee as,,Junior Member
1008,PP006,F59F845C-3E6AA2FA-B5E86ABD-078CEEA9-1C7235BA-7F3FA988-BB685B64-4C1C0217,sdasd@asda.com,,,,1,leo,,lee,0,0,0,1,,,,,0,0,0,1004,0,,,123456,,1,0,1,0,0,2016/7/22 上午 01:49:03,2016/7/22 上午 01:49:03,0,0,1,1,0,leo lee,,Junior Member
1009,PP007,F6884E43-3E89BA82-417EA895-1296995A-ADD8A98D-35A11AE4-7E0BF25D-CABBDAD6,sada@asdas.com,,,,1,leo,,lee,0,0,0,1,,,,,0,0,0,1004,0,,,123456,,1,0,1,0,0,2016/7/22 上午 01:57:04,2016/7/22 上午 01:57:04,0,0,1,1,0,leo lee,,Junior Member
1010,PP009,C261C471-10EB7D91-75A3FD9F-BD419EAD-8515C012-E4A02C7B-28780206-2F7EFBE5,asd@asdad.com,,,,1,asd,,sdad,0,0,0,1,,,,,0,0,0,1004,0,,,123456,,1,0,1,0,300,2016/7/22 上午 02:08:31,2016/7/22 上午 02:24:11,0,0,1,1,0,asd sdad,,Junior Member
1011,PP010,BC59C08A-F90BAEA3-5EBEF1BB-750AB142-40EE9FFC-EA1864AC-3DF790A0-0930E9A1,asdsd@asad.com,,,,1,Leo,,lee,0,0,0,1,,,,,0,0,0,0,0,,,123456,,1,0,1,0,0,2016/7/22 上午 02:23:54,2016/7/22 上午 02:23:54,0,0,1,1,0,Leo lee,,Junior Member
1012,PP011,164475A1-28CB1B1D-59915A35-7089606C-601CCE97-968FB503-8901F8E3-2B3DA2F4,asdsd2@asad.com,,,,1,Leo,,lee,0,0,0,1,,,,,0,0,0,1010,0,,,123456,,1,0,1,0,0,2016/7/22 上午 02:24:10,2016/7/22 上午 02:24:10,0,0,1,1,0,Leo lee,,Junior Member
