transaction_id,type,source_id,location_id,member_id,point_change,point_status,point_expiry_date,display,void_date,remark,status,crt_date,crt_by_type,crt_by,upd_date,upd_by_type,upd_by,record_status,type_name,member_name,member_no,point_status_name,status_name,crt_by_name
24,2,3,0,1079,10,1,,True,,,1,2014/5/13 下午 05:58:23,2,1,2014/5/13 下午 05:58:23,2,1,0,Promotion Rule,"Albert von Einstein    ",LFM2001,,,,
23,4,0,0,1079,30,1,,True,,,1,2014/5/13 下午 05:58:23,2,1,2014/5/13 下午 05:58:23,2,1,0,Purchase Product,"Albert von Einstein    ",LFM2001,,,,
22,3,1,0,1079,100,1,,True,,,1,2014/5/13 下午 05:44:27,2,1,2014/5/13 下午 05:44:27,2,1,0,Point Adjustment,"Albert von Einstein    ",LFM2001,,,,
21,50,0,0,1079,-1,1,,True,,,1,2014/5/13 下午 05:36:54,-1000,-1001,2014/5/13 下午 05:36:54,-1000,-1001,0,Redemption,"Albert von Einstein    ",LFM2001,,,,
20,4,0,0,1079,410,1,,True,,,1,2014/5/13 下午 05:33:18,2,1,2014/5/13 下午 05:33:18,2,1,0,Purchase Product,"Albert von Einstein    ",LFM2001,,,,
19,4,0,0,1079,270,1,,True,,,1,2014/5/13 下午 05:12:35,2,1,2014/5/13 下午 05:12:35,2,1,0,Purchase Product,"Albert von Einstein    ",LFM2001,,,,
18,4,0,0,213,20,1,,True,,,1,2014/5/12 上午 11:20:32,2,1,2014/5/12 上午 11:20:32,2,1,0,Purchase Product,Nick Tai Man Chan,MC0001,,,,
17,50,0,0,213,-1,1,,True,,,1,2014/5/12 上午 11:01:29,-1000,-1001,2014/5/12 上午 11:01:29,-1000,-1001,0,Redemption,Nick Tai Man Chan,MC0001,,,,
16,50,0,0,213,-2,1,,True,,,1,2014/5/12 上午 10:49:43,-1000,-1001,2014/5/12 上午 10:49:43,-1000,-1001,0,Redemption,Nick Tai Man Chan,MC0001,,,,
15,50,0,0,213,-1,1,,True,,,1,2014/5/12 上午 10:41:09,-1000,-1001,2014/5/12 上午 10:41:09,-1000,-1001,0,Redemption,Nick Tai Man Chan,MC0001,,,,
10,3,1,0,213,100,1,,True,,,1,2014/5/10 下午 05:41:03,2,1,2014/5/10 下午 05:41:03,2,1,0,Point Adjustment,Nick Tai Man Chan,MC0001,,,,
9,2,1,0,213,27,1,,True,,,1,2014/4/29 下午 02:22:42,2,1,2014/4/29 下午 02:22:42,2,1,0,Promotion Rule,Nick Tai Man Chan,MC0001,,,,
8,5,0,0,213,27,1,,True,,,1,2014/4/29 下午 02:22:42,2,1,2014/4/29 下午 02:22:42,2,1,0,Post Paid Service,Nick Tai Man Chan,MC0001,,,,
7,5,0,0,213,29,1,,True,,,1,2014/4/29 下午 02:22:41,2,1,2014/4/29 下午 02:22:42,2,1,0,Post Paid Service,Nick Tai Man Chan,MC0001,,,,
6,5,0,0,218,23,2,,True,,,1,2014/4/29 下午 02:22:41,2,1,2014/4/29 下午 02:22:41,2,1,0,Post Paid Service,"Ho On Yi, Sally",MC0006,,,,
5,5,0,0,217,21,2,,True,,,1,2014/4/29 下午 02:22:41,2,1,2014/4/29 下午 02:22:41,2,1,0,Post Paid Service,"Wong Tui Hing, Nick",MC0005,,,,
4,5,0,0,216,16,1,,True,,,1,2014/4/29 下午 02:22:41,2,1,2014/4/29 下午 02:22:41,2,1,0,Post Paid Service,"So Sze Kit, Joseph",MC0004,,,,
3,5,0,0,215,16,1,,True,,,1,2014/4/29 下午 02:22:41,2,1,2014/4/29 下午 02:22:41,2,1,0,Post Paid Service,"Lai Ming, Lai",MC0003,,,,
2,5,0,0,214,16,2,,True,,,1,2014/4/29 下午 02:22:41,2,1,2014/4/29 下午 02:22:41,2,1,0,Post Paid Service,"Fung Chi Chung, Paul",MC0002,,,,
1,5,0,0,213,34,1,,True,,,1,2014/4/29 下午 02:22:40,2,1,2014/4/29 下午 02:22:41,2,1,0,Post Paid Service,Nick Tai Man Chan,MC0001,,,,
